location_project,common_name,total_duration
759-NE_ABMI Height Comparison 2022,Groundhog,0
759-NE_ABMI Height Comparison 2022,"Grouse, Ptarmigan and allies",NA
759-NE_ABMI Height Comparison 2022,Marten,103.52847278826627
759-NE_ABMI Height Comparison 2022,Moose,180.49460003028253
759-NE_ABMI Height Comparison 2022,Owls,0
759-NE_ABMI Height Comparison 2022,Red Squirrel,24.365811965811965
759-NE_ABMI Height Comparison 2022,Snowshoe Hare,52.880849651510125
759-NE_ABMI Height Comparison 2022,Spruce Grouse,0
759-NE_ABMI Height Comparison 2022,Striped Skunk,0
759-NE_ABMI Height Comparison 2022,White-tailed Deer,319.30710575829835
759-NE_ABMI Height Comparison 2022,Wolverine,0
759-NE_ABMI Height Comparison 2022,"Wolves, Coyotes and Allies",0
759-SW_ABMI Ecosystem Health 2022,Beaver,0
759-SW_ABMI Ecosystem Health 2022,Bird,0
759-SW_ABMI Ecosystem Health 2022,Black Bear,1457.8407708681298
759-SW_ABMI Ecosystem Health 2022,Canada Lynx,0
759-SW_ABMI Ecosystem Health 2022,Cougar,0
759-SW_ABMI Ecosystem Health 2022,Coyote,37.927940844240354
759-SW_ABMI Ecosystem Health 2022,Deer,0
759-SW_ABMI Ecosystem Health 2022,"Ducks, Swans, Geese",0
759-SW_ABMI Ecosystem Health 2022,Ermine,0
759-SW_ABMI Ecosystem Health 2022,Falcons and allies,0
759-SW_ABMI Ecosystem Health 2022,Fisher,0
759-SW_ABMI Ecosystem Health 2022,Gray Jay,0
759-SW_ABMI Ecosystem Health 2022,Gray Wolf,0
759-SW_ABMI Ecosystem Health 2022,Groundhog,0
759-SW_ABMI Ecosystem Health 2022,"Grouse, Ptarmigan and allies",0
759-SW_ABMI Ecosystem Health 2022,Marten,0
759-SW_ABMI Ecosystem Health 2022,Moose,261.48991594472574
759-SW_ABMI Ecosystem Health 2022,Owls,0
759-SW_ABMI Ecosystem Health 2022,Red Squirrel,0
759-SW_ABMI Ecosystem Health 2022,Snowshoe Hare,67.85106206438766
759-SW_ABMI Ecosystem Health 2022,Spruce Grouse,0
759-SW_ABMI Ecosystem Health 2022,Striped Skunk,0
759-SW_ABMI Ecosystem Health 2022,White-tailed Deer,294.3010959570967
759-SW_ABMI Ecosystem Health 2022,Wolverine,0
759-SW_ABMI Ecosystem Health 2022,"Wolves, Coyotes and Allies",0
759-SW_ABMI Height Comparison 2022,Beaver,0
759-SW_ABMI Height Comparison 2022,Bird,0
759-SW_ABMI Height Comparison 2022,Black Bear,2894.5764352341284
759-SW_ABMI Height Comparison 2022,Canada Lynx,2.4233542684345197
759-SW_ABMI Height Comparison 2022,Cougar,0
759-SW_ABMI Height Comparison 2022,Coyote,111.94300269482078
759-SW_ABMI Height Comparison 2022,Deer,0
759-SW_ABMI Height Comparison 2022,"Ducks, Swans, Geese",0
759-SW_ABMI Height Comparison 2022,Ermine,0
759-SW_ABMI Height Comparison 2022,Falcons and allies,0
759-SW_ABMI Height Comparison 2022,Fisher,0
759-SW_ABMI Height Comparison 2022,Gray Jay,0
759-SW_ABMI Height Comparison 2022,Gray Wolf,0
759-SW_ABMI Height Comparison 2022,Groundhog,0
759-SW_ABMI Height Comparison 2022,"Grouse, Ptarmigan and allies",NA
759-SW_ABMI Height Comparison 2022,Marten,0
759-SW_ABMI Height Comparison 2022,Moose,199.2643648618574
759-SW_ABMI Height Comparison 2022,Owls,0
759-SW_ABMI Height Comparison 2022,Red Squirrel,76.0974358974359
759-SW_ABMI Height Comparison 2022,Snowshoe Hare,572.9036064343859
759-SW_ABMI Height Comparison 2022,Spruce Grouse,NA
759-SW_ABMI Height Comparison 2022,Striped Skunk,0
759-SW_ABMI Height Comparison 2022,White-tailed Deer,219.38151890298036
759-SW_ABMI Height Comparison 2022,Wolverine,0
759-SW_ABMI Height Comparison 2022,"Wolves, Coyotes and Allies",0
760-NE_ABMI Ecosystem Health 2022,Beaver,0
760-NE_ABMI Ecosystem Health 2022,Bird,0
760-NE_ABMI Ecosystem Health 2022,Black Bear,553.5767412319508
760-NE_ABMI Ecosystem Health 2022,Canada Lynx,0
760-NE_ABMI Ecosystem Health 2022,Cougar,0
760-NE_ABMI Ecosystem Health 2022,Coyote,33.48575067370519
760-NE_ABMI Ecosystem Health 2022,Deer,5.168250419228619
760-NE_ABMI Ecosystem Health 2022,"Ducks, Swans, Geese",0
760-NE_ABMI Ecosystem Health 2022,Ermine,0
760-NE_ABMI Ecosystem Health 2022,Falcons and allies,0
760-NE_ABMI Ecosystem Health 2022,Fisher,0
760-NE_ABMI Ecosystem Health 2022,Gray Jay,0
760-NE_ABMI Ecosystem Health 2022,Gray Wolf,0
760-NE_ABMI Ecosystem Health 2022,Groundhog,0
760-NE_ABMI Ecosystem Health 2022,"Grouse, Ptarmigan and allies",0
760-NE_ABMI Ecosystem Health 2022,Marten,35.78857142857143
760-NE_ABMI Ecosystem Health 2022,Moose,12.534476491084966
760-NE_ABMI Ecosystem Health 2022,Owls,0
760-NE_ABMI Ecosystem Health 2022,Red Squirrel,0
760-NE_ABMI Ecosystem Health 2022,Snowshoe Hare,10.970212412877531
760-NE_ABMI Ecosystem Health 2022,Spruce Grouse,0
760-NE_ABMI Ecosystem Health 2022,Striped Skunk,0
760-NE_ABMI Ecosystem Health 2022,White-tailed Deer,2646.8431118398817
760-NE_ABMI Ecosystem Health 2022,Wolverine,0
760-NE_ABMI Ecosystem Health 2022,"Wolves, Coyotes and Allies",0
760-NE_ABMI Height Comparison 2022,Beaver,0
760-NE_ABMI Height Comparison 2022,Bird,0
760-NE_ABMI Height Comparison 2022,Black Bear,484.50187557716714
760-NE_ABMI Height Comparison 2022,Canada Lynx,2.4233542684345197
760-NE_ABMI Height Comparison 2022,Cougar,0
760-NE_ABMI Height Comparison 2022,Coyote,7.657167115803462
760-NE_ABMI Height Comparison 2022,Deer,16.33650083845724
760-NE_ABMI Height Comparison 2022,"Ducks, Swans, Geese",0
760-NE_ABMI Height Comparison 2022,Ermine,0
760-NE_ABMI Height Comparison 2022,Falcons and allies,0
760-NE_ABMI Height Comparison 2022,Fisher,0
760-NE_ABMI Height Comparison 2022,Gray Jay,0
760-NE_ABMI Height Comparison 2022,Gray Wolf,0
760-NE_ABMI Height Comparison 2022,Groundhog,0
760-NE_ABMI Height Comparison 2022,"Grouse, Ptarmigan and allies",0
760-NE_ABMI Height Comparison 2022,Marten,18.447142857142858
760-NE_ABMI Height Comparison 2022,Moose,9.534476491084966
760-NE_ABMI Height Comparison 2022,Owls,0
760-NE_ABMI Height Comparison 2022,Red Squirrel,6.091452991452991
760-NE_ABMI Height Comparison 2022,Snowshoe Hare,16.455318619316298
760-NE_ABMI Height Comparison 2022,Spruce Grouse,0
760-NE_ABMI Height Comparison 2022,Striped Skunk,0
760-NE_ABMI Height Comparison 2022,White-tailed Deer,4140.161309987005
760-NE_ABMI Height Comparison 2022,Wolverine,0
760-NE_ABMI Height Comparison 2022,"Wolves, Coyotes and Allies",0
760-SW_ABMI Ecosystem Health 2022,Beaver,5.875
760-SW_ABMI Ecosystem Health 2022,Bird,0
760-SW_ABMI Ecosystem Health 2022,Black Bear,152.48713211269748
760-SW_ABMI Ecosystem Health 2022,Canada Lynx,0
760-SW_ABMI Ecosystem Health 2022,Cougar,54.13147410358566
760-SW_ABMI Ecosystem Health 2022,Coyote,53.43815283223803
760-SW_ABMI Ecosystem Health 2022,Deer,0
760-SW_ABMI Ecosystem Health 2022,"Ducks, Swans, Geese",0
760-SW_ABMI Ecosystem Health 2022,Ermine,0
760-SW_ABMI Ecosystem Health 2022,Falcons and allies,0
760-SW_ABMI Ecosystem Health 2022,Fisher,0
760-SW_ABMI Ecosystem Health 2022,Gray Jay,0
760-SW_ABMI Ecosystem Health 2022,Gray Wolf,59.567699560825474
760-SW_ABMI Ecosystem Health 2022,Groundhog,0
760-SW_ABMI Ecosystem Health 2022,"Grouse, Ptarmigan and allies",0
760-SW_ABMI Ecosystem Health 2022,Marten,0
760-SW_ABMI Ecosystem Health 2022,Moose,794.4190772511
760-SW_ABMI Ecosystem Health 2022,Owls,0
760-SW_ABMI Ecosystem Health 2022,Red Squirrel,0
760-SW_ABMI Ecosystem Health 2022,Snowshoe Hare,0
760-SW_ABMI Ecosystem Health 2022,Spruce Grouse,0
760-SW_ABMI Ecosystem Health 2022,Striped Skunk,0
760-SW_ABMI Ecosystem Health 2022,White-tailed Deer,2268.7942135930816
760-SW_ABMI Ecosystem Health 2022,Wolverine,0
760-SW_ABMI Ecosystem Health 2022,"Wolves, Coyotes and Allies",0
760-SW_ABMI Height Comparison 2022,Beaver,43.625
760-SW_ABMI Height Comparison 2022,Bird,0
760-SW_ABMI Height Comparison 2022,Black Bear,1355.3519930371885
760-SW_ABMI Height Comparison 2022,Canada Lynx,65.54012561060712
760-SW_ABMI Height Comparison 2022,Cougar,198.83555773847507
760-SW_ABMI Height Comparison 2022,Coyote,509.39622894244945
760-SW_ABMI Height Comparison 2022,Deer,0
760-SW_ABMI Height Comparison 2022,"Ducks, Swans, Geese",NA
760-SW_ABMI Height Comparison 2022,Ermine,0
760-SW_ABMI Height Comparison 2022,Falcons and allies,0
760-SW_ABMI Height Comparison 2022,Fisher,75.31428535985097
760-SW_ABMI Height Comparison 2022,Gray Jay,NA
760-SW_ABMI Height Comparison 2022,Gray Wolf,127.90269313946803
760-SW_ABMI Height Comparison 2022,Groundhog,0
760-SW_ABMI Height Comparison 2022,"Grouse, Ptarmigan and allies",0
760-SW_ABMI Height Comparison 2022,Marten,13.447142857142858
760-SW_ABMI Height Comparison 2022,Moose,677.933384681472
760-SW_ABMI Height Comparison 2022,Owls,0
760-SW_ABMI Height Comparison 2022,Red Squirrel,0
760-SW_ABMI Height Comparison 2022,Snowshoe Hare,183.8234677362203
760-SW_ABMI Height Comparison 2022,Spruce Grouse,0
760-SW_ABMI Height Comparison 2022,Striped Skunk,0
760-SW_ABMI Height Comparison 2022,White-tailed Deer,4341.380476345035
760-SW_ABMI Height Comparison 2022,Wolverine,0
760-SW_ABMI Height Comparison 2022,"Wolves, Coyotes and Allies",0
792-NE_ABMI Ecosystem Health 2022,Beaver,0
792-NE_ABMI Ecosystem Health 2022,Bird,0
792-NE_ABMI Ecosystem Health 2022,Black Bear,95.73256392641606
792-NE_ABMI Ecosystem Health 2022,Canada Lynx,0
792-NE_ABMI Ecosystem Health 2022,Cougar,0
792-NE_ABMI Ecosystem Health 2022,Coyote,331.7214080594701
792-NE_ABMI Ecosystem Health 2022,Deer,0
792-NE_ABMI Ecosystem Health 2022,"Ducks, Swans, Geese",0
792-NE_ABMI Ecosystem Health 2022,Ermine,0
792-NE_ABMI Ecosystem Health 2022,Falcons and allies,0
792-NE_ABMI Ecosystem Health 2022,Fisher,0
792-NE_ABMI Ecosystem Health 2022,Gray Jay,NA
792-NE_ABMI Ecosystem Health 2022,Gray Wolf,108.54594594594595
792-NE_ABMI Ecosystem Health 2022,Groundhog,0
792-NE_ABMI Ecosystem Health 2022,"Grouse, Ptarmigan and allies",0
792-NE_ABMI Ecosystem Health 2022,Marten,0
792-NE_ABMI Ecosystem Health 2022,Moose,6.534476491084965
792-NE_ABMI Ecosystem Health 2022,Owls,0
792-NE_ABMI Ecosystem Health 2022,Red Squirrel,0
792-NE_ABMI Ecosystem Health 2022,Snowshoe Hare,53.39574344507135
792-NE_ABMI Ecosystem Health 2022,Spruce Grouse,0
792-NE_ABMI Ecosystem Health 2022,Striped Skunk,0
792-NE_ABMI Ecosystem Health 2022,White-tailed Deer,3501.0341150666154
792-NE_ABMI Ecosystem Health 2022,Wolverine,0
792-NE_ABMI Ecosystem Health 2022,"Wolves, Coyotes and Allies",0
792-NE_ABMI Height Comparison 2022,Beaver,0
792-NE_ABMI Height Comparison 2022,Bird,0
792-NE_ABMI Height Comparison 2022,Black Bear,250.0844576493282
792-NE_ABMI Height Comparison 2022,Canada Lynx,0
792-NE_ABMI Height Comparison 2022,Cougar,0
792-NE_ABMI Height Comparison 2022,Coyote,665.6122656385604
792-NE_ABMI Height Comparison 2022,Deer,25.50475125768586
792-NE_ABMI Height Comparison 2022,"Ducks, Swans, Geese",0
792-NE_ABMI Height Comparison 2022,Ermine,0
792-NE_ABMI Height Comparison 2022,Falcons and allies,0
792-NE_ABMI Height Comparison 2022,Fisher,0
792-NE_ABMI Height Comparison 2022,Gray Jay,NA
792-NE_ABMI Height Comparison 2022,Gray Wolf,117.65945945945946
792-NE_ABMI Height Comparison 2022,Groundhog,0
792-NE_ABMI Height Comparison 2022,"Grouse, Ptarmigan and allies",0
792-NE_ABMI Height Comparison 2022,Marten,0
792-NE_ABMI Height Comparison 2022,Moose,13.06895298216993
792-NE_ABMI Height Comparison 2022,Owls,0
792-NE_ABMI Height Comparison 2022,Red Squirrel,12.182905982905982
792-NE_ABMI Height Comparison 2022,Snowshoe Hare,54.851062064387655
792-NE_ABMI Height Comparison 2022,Spruce Grouse,0
792-NE_ABMI Height Comparison 2022,Striped Skunk,0
792-NE_ABMI Height Comparison 2022,White-tailed Deer,4185.65418269473
792-NE_ABMI Height Comparison 2022,Wolverine,0
792-NE_ABMI Height Comparison 2022,"Wolves, Coyotes and Allies",0
792-SW_ABMI Ecosystem Health 2022,Beaver,0
792-SW_ABMI Ecosystem Health 2022,Bird,0
792-SW_ABMI Ecosystem Health 2022,Black Bear,100.95279038170727
792-SW_ABMI Ecosystem Health 2022,Canada Lynx,0
792-SW_ABMI Ecosystem Health 2022,Cougar,0
792-SW_ABMI Ecosystem Health 2022,Coyote,939.3540707748717
792-SW_ABMI Ecosystem Health 2022,Deer,0
792-SW_ABMI Ecosystem Health 2022,"Ducks, Swans, Geese",0
792-SW_ABMI Ecosystem Health 2022,Ermine,0
792-SW_ABMI Ecosystem Health 2022,Falcons and allies,0
792-SW_ABMI Ecosystem Health 2022,Fisher,0
792-SW_ABMI Ecosystem Health 2022,Gray Jay,0
792-SW_ABMI Ecosystem Health 2022,Gray Wolf,0
792-SW_ABMI Ecosystem Health 2022,Groundhog,0
792-SW_ABMI Ecosystem Health 2022,"Grouse, Ptarmigan and allies",0
792-SW_ABMI Ecosystem Health 2022,Marten,0
792-SW_ABMI Ecosystem Health 2022,Moose,112.32396639194891
792-SW_ABMI Ecosystem Health 2022,Owls,NA
792-SW_ABMI Ecosystem Health 2022,Red Squirrel,6.091452991452991
792-SW_ABMI Ecosystem Health 2022,Snowshoe Hare,187.6981759023658
792-SW_ABMI Ecosystem Health 2022,Spruce Grouse,0
792-SW_ABMI Ecosystem Health 2022,Striped Skunk,0
792-SW_ABMI Ecosystem Health 2022,White-tailed Deer,241.14557031607924
792-SW_ABMI Ecosystem Health 2022,Wolverine,0
792-SW_ABMI Ecosystem Health 2022,"Wolves, Coyotes and Allies",0
792-SW_ABMI Height Comparison 2022,Beaver,0
792-SW_ABMI Height Comparison 2022,Bird,0
792-SW_ABMI Height Comparison 2022,Black Bear,133.46391219961458
792-SW_ABMI Height Comparison 2022,Canada Lynx,0
792-SW_ABMI Height Comparison 2022,Cougar,0
792-SW_ABMI Height Comparison 2022,Coyote,1096.6793290620944
792-SW_ABMI Height Comparison 2022,Deer,0
792-SW_ABMI Height Comparison 2022,"Ducks, Swans, Geese",0
792-SW_ABMI Height Comparison 2022,Ermine,0
792-SW_ABMI Height Comparison 2022,Falcons and allies,NA
792-SW_ABMI Height Comparison 2022,Fisher,0
792-SW_ABMI Height Comparison 2022,Gray Jay,NA
792-SW_ABMI Height Comparison 2022,Gray Wolf,0
792-SW_ABMI Height Comparison 2022,Groundhog,0
792-SW_ABMI Height Comparison 2022,"Grouse, Ptarmigan and allies",0
792-SW_ABMI Height Comparison 2022,Marten,0
792-SW_ABMI Height Comparison 2022,Moose,81.32966341401456
792-SW_ABMI Height Comparison 2022,Owls,0
792-SW_ABMI Height Comparison 2022,Red Squirrel,46.64017094017094
792-SW_ABMI Height Comparison 2022,Snowshoe Hare,219.09786757384666
792-SW_ABMI Height Comparison 2022,Spruce Grouse,0
792-SW_ABMI Height Comparison 2022,Striped Skunk,0
792-SW_ABMI Height Comparison 2022,White-tailed Deer,275.47505144824964
792-SW_ABMI Height Comparison 2022,Wolverine,0
792-SW_ABMI Height Comparison 2022,"Wolves, Coyotes and Allies",0
793-NE_ABMI Ecosystem Health 2022,Beaver,0
793-NE_ABMI Ecosystem Health 2022,Bird,0
793-NE_ABMI Ecosystem Health 2022,Black Bear,0
793-NE_ABMI Ecosystem Health 2022,Canada Lynx,0
793-NE_ABMI Ecosystem Health 2022,Cougar,0
793-NE_ABMI Ecosystem Health 2022,Coyote,0
793-NE_ABMI Ecosystem Health 2022,Deer,0
793-NE_ABMI Ecosystem Health 2022,"Ducks, Swans, Geese",0
793-NE_ABMI Ecosystem Health 2022,Ermine,0
793-NE_ABMI Ecosystem Health 2022,Falcons and allies,0
793-NE_ABMI Ecosystem Health 2022,Fisher,0
793-NE_ABMI Ecosystem Health 2022,Gray Jay,0
793-NE_ABMI Ecosystem Health 2022,Gray Wolf,0
793-NE_ABMI Ecosystem Health 2022,Groundhog,0
793-NE_ABMI Ecosystem Health 2022,"Grouse, Ptarmigan and allies",0
793-NE_ABMI Ecosystem Health 2022,Marten,0
793-NE_ABMI Ecosystem Health 2022,Moose,0
793-NE_ABMI Ecosystem Health 2022,Owls,0
793-NE_ABMI Ecosystem Health 2022,Red Squirrel,0
793-NE_ABMI Ecosystem Health 2022,Snowshoe Hare,0
793-NE_ABMI Ecosystem Health 2022,Spruce Grouse,0
793-NE_ABMI Ecosystem Health 2022,Striped Skunk,0
793-NE_ABMI Ecosystem Health 2022,White-tailed Deer,123.42039827075071
793-NE_ABMI Ecosystem Health 2022,Wolverine,0
793-NE_ABMI Ecosystem Health 2022,"Wolves, Coyotes and Allies",0
793-NE_ABMI Height Comparison 2022,Beaver,0
793-NE_ABMI Height Comparison 2022,Bird,0
793-NE_ABMI Height Comparison 2022,Black Bear,458.9301175003522
793-NE_ABMI Height Comparison 2022,Canada Lynx,0
793-NE_ABMI Height Comparison 2022,Cougar,0
793-NE_ABMI Height Comparison 2022,Coyote,0
793-NE_ABMI Height Comparison 2022,Deer,0
793-NE_ABMI Height Comparison 2022,"Ducks, Swans, Geese",0
793-NE_ABMI Height Comparison 2022,Ermine,0
793-NE_ABMI Height Comparison 2022,Falcons and allies,0
793-NE_ABMI Height Comparison 2022,Fisher,0
793-NE_ABMI Height Comparison 2022,Gray Jay,0
793-NE_ABMI Height Comparison 2022,Gray Wolf,0
793-NE_ABMI Height Comparison 2022,Groundhog,0
793-NE_ABMI Height Comparison 2022,"Grouse, Ptarmigan and allies",0
793-NE_ABMI Height Comparison 2022,Marten,0
793-NE_ABMI Height Comparison 2022,Moose,0
793-NE_ABMI Height Comparison 2022,Owls,0
793-NE_ABMI Height Comparison 2022,Red Squirrel,0
793-NE_ABMI Height Comparison 2022,Snowshoe Hare,0
793-NE_ABMI Height Comparison 2022,Spruce Grouse,0
793-NE_ABMI Height Comparison 2022,Striped Skunk,7.970238095238095
793-NE_ABMI Height Comparison 2022,White-tailed Deer,17.914346711295636
793-NE_ABMI Height Comparison 2022,Wolverine,0
793-NE_ABMI Height Comparison 2022,"Wolves, Coyotes and Allies",0
793-SW_ABMI Ecosystem Health 2022,Beaver,0
793-SW_ABMI Ecosystem Health 2022,Bird,0
793-SW_ABMI Ecosystem Health 2022,Black Bear,266.51035670284404
793-SW_ABMI Ecosystem Health 2022,Canada Lynx,6.8467085368690395
793-SW_ABMI Ecosystem Health 2022,Cougar,46.58764940239044
793-SW_ABMI Ecosystem Health 2022,Coyote,0
793-SW_ABMI Ecosystem Health 2022,Deer,0
793-SW_ABMI Ecosystem Health 2022,"Ducks, Swans, Geese",0
793-SW_ABMI Ecosystem Health 2022,Ermine,0
793-SW_ABMI Ecosystem Health 2022,Falcons and allies,0
793-SW_ABMI Ecosystem Health 2022,Fisher,0
793-SW_ABMI Ecosystem Health 2022,Gray Jay,0
793-SW_ABMI Ecosystem Health 2022,Gray Wolf,0
793-SW_ABMI Ecosystem Health 2022,Groundhog,0
793-SW_ABMI Ecosystem Health 2022,"Grouse, Ptarmigan and allies",0
793-SW_ABMI Ecosystem Health 2022,Marten,0
793-SW_ABMI Ecosystem Health 2022,Moose,0
793-SW_ABMI Ecosystem Health 2022,Owls,0
793-SW_ABMI Ecosystem Health 2022,Red Squirrel,14.182905982905982
793-SW_ABMI Ecosystem Health 2022,Snowshoe Hare,55.663650690753116
793-SW_ABMI Ecosystem Health 2022,Spruce Grouse,0
793-SW_ABMI Ecosystem Health 2022,Striped Skunk,0
793-SW_ABMI Ecosystem Health 2022,White-tailed Deer,1034.202791860826
793-SW_ABMI Ecosystem Health 2022,Wolverine,0
793-SW_ABMI Ecosystem Health 2022,"Wolves, Coyotes and Allies",0
793-SW_ABMI Height Comparison 2022,Beaver,0
793-SW_ABMI Height Comparison 2022,Bird,0
793-SW_ABMI Height Comparison 2022,Black Bear,503.68314317050226
793-SW_ABMI Height Comparison 2022,Canada Lynx,151.7635968461472
793-SW_ABMI Height Comparison 2022,Cougar,94.51125961407612
793-SW_ABMI Height Comparison 2022,Coyote,3.828583557901731
793-SW_ABMI Height Comparison 2022,Deer,2.5841252096143097
793-SW_ABMI Height Comparison 2022,"Ducks, Swans, Geese",0
793-SW_ABMI Height Comparison 2022,Ermine,0
793-SW_ABMI Height Comparison 2022,Falcons and allies,0
793-SW_ABMI Height Comparison 2022,Fisher,9.809151785714286
793-SW_ABMI Height Comparison 2022,Gray Jay,0
793-SW_ABMI Height Comparison 2022,Gray Wolf,0
793-SW_ABMI Height Comparison 2022,Groundhog,0
793-SW_ABMI Height Comparison 2022,"Grouse, Ptarmigan and allies",0
793-SW_ABMI Height Comparison 2022,Marten,29.341428571428573
793-SW_ABMI Height Comparison 2022,Moose,0
793-SW_ABMI Height Comparison 2022,Owls,0
793-SW_ABMI Height Comparison 2022,Red Squirrel,219.92649572649572
793-SW_ABMI Height Comparison 2022,Snowshoe Hare,291.95507112359894
793-SW_ABMI Height Comparison 2022,Spruce Grouse,0
793-SW_ABMI Height Comparison 2022,Striped Skunk,2.9851190476190474
793-SW_ABMI Height Comparison 2022,White-tailed Deer,849.696302806223
793-SW_ABMI Height Comparison 2022,Wolverine,0
793-SW_ABMI Height Comparison 2022,"Wolves, Coyotes and Allies",0
794-NE_ABMI Ecosystem Health 2022,Beaver,0
794-NE_ABMI Ecosystem Health 2022,Bird,0
794-NE_ABMI Ecosystem Health 2022,Black Bear,545.5363054411371
794-NE_ABMI Ecosystem Health 2022,Canada Lynx,5.8467085368690395
794-NE_ABMI Ecosystem Health 2022,Cougar,0
794-NE_ABMI Ecosystem Health 2022,Coyote,129.61348893075586
794-NE_ABMI Ecosystem Health 2022,Deer,0
794-NE_ABMI Ecosystem Health 2022,"Ducks, Swans, Geese",0
794-NE_ABMI Ecosystem Health 2022,Ermine,0
794-NE_ABMI Ecosystem Health 2022,Falcons and allies,0
794-NE_ABMI Ecosystem Health 2022,Fisher,4.904575892857143
794-NE_ABMI Ecosystem Health 2022,Gray Jay,0
794-NE_ABMI Ecosystem Health 2022,Gray Wolf,5.772972972972973
794-NE_ABMI Ecosystem Health 2022,Groundhog,0
794-NE_ABMI Ecosystem Health 2022,"Grouse, Ptarmigan and allies",0
794-NE_ABMI Ecosystem Health 2022,Marten,0
794-NE_ABMI Ecosystem Health 2022,Moose,1383.0048353176899
794-NE_ABMI Ecosystem Health 2022,Owls,0
794-NE_ABMI Ecosystem Health 2022,Red Squirrel,0
794-NE_ABMI Ecosystem Health 2022,Snowshoe Hare,5.485106206438766
794-NE_ABMI Ecosystem Health 2022,Spruce Grouse,0
794-NE_ABMI Ecosystem Health 2022,Striped Skunk,0
794-NE_ABMI Ecosystem Health 2022,White-tailed Deer,1522.8449050408053
794-NE_ABMI Ecosystem Health 2022,Wolverine,0
794-NE_ABMI Ecosystem Health 2022,"Wolves, Coyotes and Allies",0
794-NE_ABMI Height Comparison 2022,Beaver,0
794-NE_ABMI Height Comparison 2022,Bird,0
794-NE_ABMI Height Comparison 2022,Black Bear,783.4291231869041
794-NE_ABMI Height Comparison 2022,Canada Lynx,86.1167713421726
794-NE_ABMI Height Comparison 2022,Cougar,0
794-NE_ABMI Height Comparison 2022,Coyote,509.6467140261704
794-NE_ABMI Height Comparison 2022,Deer,0
794-NE_ABMI Height Comparison 2022,"Ducks, Swans, Geese",0
794-NE_ABMI Height Comparison 2022,Ermine,2.25
794-NE_ABMI Height Comparison 2022,Falcons and allies,0
794-NE_ABMI Height Comparison 2022,Fisher,35.522879464285715
794-NE_ABMI Height Comparison 2022,Gray Jay,0
794-NE_ABMI Height Comparison 2022,Gray Wolf,63.545945945945945
794-NE_ABMI Height Comparison 2022,Groundhog,0
794-NE_ABMI Height Comparison 2022,"Grouse, Ptarmigan and allies",0
794-NE_ABMI Height Comparison 2022,Marten,0
794-NE_ABMI Height Comparison 2022,Moose,1228.5597035309215
794-NE_ABMI Height Comparison 2022,Owls,0
794-NE_ABMI Height Comparison 2022,Red Squirrel,0
794-NE_ABMI Height Comparison 2022,Snowshoe Hare,118.21223605360308
794-NE_ABMI Height Comparison 2022,Spruce Grouse,0
794-NE_ABMI Height Comparison 2022,Striped Skunk,0
794-NE_ABMI Height Comparison 2022,White-tailed Deer,1426.4169494421424
